ID,Year_Birth,Age,Age_Category,Education,Marital_Status,Income,Income_Category,Kidhome,Teenhome,Child,Dt_Customer,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchases,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Accepted_Cmp,Response,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
1409,1951.0,63.0,Retirement,Graduate,Relationship,40689,Middle Income,0,1,Yes,2013-03-18,69,0,270,3,27,39,6,99,444,7,0,0,0,0,0,No,0,7,1,5,8
7892,1969.0,45.0,Pre-retirement,Graduate,Single,18589,Low Income,0,0,No,2013-01-02,89,0,6,4,25,15,12,13,75,2,0,0,0,0,0,No,0,2,1,3,7
2404,1976.0,38.0,Middle-aged,Graduate,Relationship,53359,Middle Income,1,1,Yes,2013-05-27,4,0,173,4,30,3,6,41,257,4,0,0,0,0,0,No,0,5,1,4,7
5255,1986.0,28.0,Early worker,Graduate,Single,52028,Middle Income,1,0,Yes,2013-02-20,19,0,5,1,3,3,263,362,637,0,0,0,0,0,0,No,0,27,0,0,1
9422,1989.0,25.0,Early worker,Graduate,Relationship,38360,Middle Income,1,0,Yes,2013-05-31,26,0,36,2,42,20,21,10,131,2,0,0,0,0,0,No,0,2,1,4,3
1966,1965.0,49.0,Pre-retirement,Postgraduate,Relationship,84618,Upper Income,0,0,No,2013-11-22,96,0,684,100,801,21,66,0,1672,1,0,0,0,0,1,Yes,0,6,9,10,2
6864,1989.0,25.0,Early worker,Postgraduate,Single,10979,Low Income,0,0,No,2014-05-22,34,0,8,4,10,2,2,4,30,2,0,0,0,0,0,No,0,3,0,3,5
3033,1963.0,51.0,Pre-retirement,Postgraduate,Relationship,38620,Middle Income,0,0,No,2013-05-11,56,0,112,17,44,34,22,89,318,1,0,0,0,0,0,No,0,2,5,3,3
5710,1970.0,44.0,Middle-aged,Graduate,Relationship,40548,Middle Income,0,1,Yes,2012-10-10,31,0,110,0,5,2,0,3,120,2,0,0,0,1,0,Yes,0,2,1,4,5
7373,1952.0,62.0,Retirement,Postgraduate,Single,46610,Middle Income,0,2,Yes,2012-10-29,8,0,96,12,96,33,22,43,302,6,0,0,0,0,0,No,1,4,1,6,6
8755,1946.0,68.0,Elderly,Postgraduate,Relationship,68657,Upper Income,0,0,No,2013-02-20,4,0,482,34,471,119,68,22,1196,1,0,0,0,0,0,No,0,3,5,9,7
10738,1951.0,63.0,Retirement,Postgraduate,Single,49389,Middle Income,1,1,Yes,2013-08-29,55,0,40,0,19,2,1,3,65,1,0,0,0,0,0,No,0,2,0,3,7
4339,1970.0,44.0,Middle-aged,Postgraduate,Relationship,67353,Middle Income,0,1,Yes,2013-12-31,37,0,702,17,151,0,8,35,913,5,0,0,0,0,0,No,0,5,6,12,2
10755,1976.0,38.0,Middle-aged,Postgraduate,Relationship,23718,Low Income,1,0,Yes,2013-09-02,76,0,6,3,14,15,7,36,81,3,0,0,0,0,0,No,0,3,1,2,7
8595,1973.0,41.0,Middle-aged,Graduate,Single,42429,Middle Income,0,1,Yes,2014-02-11,99,0,55,0,6,2,0,4,67,2,0,0,0,0,0,No,0,1,1,3,5
2968,1943.0,71.0,Elderly,Postgraduate,Single,48948,Middle Income,0,0,No,2013-02-01,53,0,437,8,206,160,49,42,902,2,0,0,1,0,0,Yes,1,7,10,5,6
8601,1980.0,34.0,Early worker,Graduate,Relationship,80011,Upper Income,0,1,Yes,2013-04-29,3,0,421,76,536,82,178,102,1395,2,0,0,0,0,0,No,0,8,6,5,4
503,1985.0,29.0,Early worker,Postgraduate,Relationship,20559,Low Income,1,0,Yes,2013-03-12,88,0,13,1,29,3,0,7,53,2,0,0,0,0,0,No,0,2,0,3,8
8430,1957.0,57.0,Retirement,Graduate,Relationship,21994,Low Income,0,1,Yes,2012-12-24,4,0,9,0,6,3,1,3,22,1,0,0,0,0,0,No,0,0,0,3,5
7281,1959.0,55.0,Retirement,Postgraduate,Single,55212,Middle Income,0,0,No,2013-11-05,80,0,81,11,50,3,2,39,186,1,0,0,0,0,0,No,0,1,3,4,2
2139,1975.0,39.0,Middle-aged,Postgraduate,Relationship,7500,Low Income,1,0,Yes,2013-10-02,19,0,3,1,10,3,2,12,31,3,0,0,0,0,0,No,0,2,0,3,5
1371,1976.0,38.0,Middle-aged,Graduate,Single,79941,Upper Income,0,0,No,2014-06-28,72,0,123,164,266,227,30,174,984,1,0,0,0,0,0,No,0,2,4,9,1
9909,1996.0,18.0,Young,Postgraduate,Relationship,7500,Low Income,0,0,No,2012-11-09,24,0,3,18,14,15,22,50,122,3,0,0,0,0,0,No,1,3,1,3,9
7286,1968.0,46.0,Pre-retirement,Graduate,Relationship,41728,Middle Income,1,0,Yes,2013-05-24,92,0,13,6,15,3,5,13,55,1,0,0,0,0,0,No,0,2,0,2,10
7244,1951.0,63.0,Retirement,Graduate,Single,52028,Middle Income,2,1,Yes,2014-01-01,96,0,48,5,48,6,10,7,124,3,0,0,0,0,0,No,0,2,1,4,6
6566,1954.0,60.0,Retirement,Postgraduate,Relationship,72550,Upper Income,1,1,Yes,2012-11-08,39,0,826,50,317,50,38,38,1319,9,0,0,0,0,0,No,0,5,2,12,8
8614,1957.0,57.0,Retirement,Graduate,Single,65486,Middle Income,0,1,Yes,2014-05-12,29,0,245,19,125,37,67,14,507,1,0,0,0,0,0,No,0,4,2,10,2
4114,1964.0,50.0,Pre-retirement,Postgraduate,Relationship,79143,Upper Income,0,0,No,2012-08-11,2,0,650,37,780,27,167,32,1693,1,0,0,0,0,0,No,0,6,9,13,3
1331,1977.0,37.0,Middle-aged,Graduate,Single,35790,Middle Income,1,0,Yes,2013-01-02,54,0,12,6,20,30,1,3,72,2,0,0,0,0,0,No,0,2,0,3,7
2225,1977.0,37.0,Middle-aged,Graduate,Single,82582,Upper Income,0,0,No,2014-06-07,54,0,510,120,550,156,40,241,1617,1,1,0,1,0,0,Yes,1,4,9,7,1
9381,1978.0,36.0,Middle-aged,Graduate,Relationship,66373,Middle Income,1,1,Yes,2013-06-12,57,0,328,9,124,12,24,109,606,7,0,0,0,0,0,No,0,4,2,10,3
6260,1955.0,59.0,Retirement,Postgraduate,Relationship,82384,Upper Income,0,0,No,2012-11-19,55,0,984,51,432,180,120,190,1957,1,0,0,0,0,1,Yes,1,3,10,13,1
10383,1966.0,48.0,Pre-retirement,Graduate,Single,70287,Upper Income,0,0,No,2013-04-02,30,0,295,35,482,121,120,40,1093,1,0,0,0,0,0,No,1,5,5,10,3
7437,1988.0,26.0,Early worker,Graduate,Single,27938,Low Income,1,0,Yes,2014-04-28,31,0,13,0,8,2,1,5,29,1,0,0,0,0,0,No,0,1,0,4,3
8557,1982.0,32.0,Early worker,Graduate,Single,52028,Middle Income,1,0,Yes,2013-06-17,57,0,11,3,22,2,2,6,46,2,0,0,0,0,0,No,0,2,0,3,6
8375,1968.0,46.0,Pre-retirement,Postgraduate,Relationship,55954,Middle Income,0,1,Yes,2014-03-03,63,0,447,0,28,0,0,43,518,3,0,0,0,0,0,No,0,8,2,6,7
6853,1982.0,32.0,Early worker,Postgraduate,Single,75777,Upper Income,0,0,No,2013-07-04,12,0,712,26,538,69,13,80,1438,1,0,0,0,1,1,Yes,1,3,6,11,1
3076,1975.0,39.0,Middle-aged,Graduate,Relationship,66653,Middle Income,1,1,Yes,2012-09-07,18,0,452,18,102,16,18,6,612,4,0,0,0,0,0,No,0,4,2,12,3
1012,1952.0,62.0,Retirement,Graduate,Single,61823,Middle Income,0,1,Yes,2013-02-18,26,0,523,7,134,37,14,169,884,4,0,0,0,0,0,No,0,8,2,10,7
6518,1951.0,63.0,Retirement,Postgraduate,Single,67680,Middle Income,0,1,Yes,2013-06-11,8,0,546,0,48,0,6,6,606,1,0,0,0,0,0,No,0,7,3,8,5
4137,1948.0,66.0,Elderly,Graduate,Relationship,70666,Upper Income,0,0,No,2013-12-06,29,0,398,40,367,119,122,30,1076,1,0,0,0,0,0,No,0,7,4,4,4
8082,1971.0,43.0,Middle-aged,Graduate,Relationship,25721,Low Income,1,0,Yes,2013-05-21,75,0,1,3,6,3,6,15,34,1,0,0,0,0,0,No,1,1,1,2,7
1386,1967.0,47.0,Pre-retirement,Graduate,Relationship,32474,Low Income,1,1,Yes,2014-05-11,0,0,10,0,1,0,0,0,11,1,0,0,0,0,0,No,0,1,0,2,7
9369,1979.0,35.0,Middle-aged,Postgraduate,Single,88194,Upper Income,0,1,Yes,2014-03-19,19,0,688,14,309,201,24,38,1274,1,1,0,1,0,0,Yes,1,11,10,10,5
4477,1958.0,56.0,Retirement,Graduate,Relationship,69096,Upper Income,0,1,Yes,2013-09-27,4,0,247,49,159,7,82,109,653,1,0,0,0,0,0,No,0,5,2,10,4
1357,1970.0,44.0,Middle-aged,Graduate,Relationship,74854,Upper Income,1,2,Yes,2013-04-08,90,0,856,59,487,58,29,73,1562,7,0,0,0,0,0,No,0,2,5,5,5
1402,1954.0,60.0,Retirement,Postgraduate,Relationship,66991,Middle Income,0,0,No,2012-09-11,1,0,496,36,460,189,60,12,1253,3,0,0,0,0,0,No,0,4,8,6,3
10629,1973.0,41.0,Middle-aged,Postgraduate,Relationship,46805,Middle Income,1,0,Yes,2012-09-14,25,0,25,3,43,17,4,17,109,3,0,0,0,0,0,No,0,3,0,3,8
6312,1959.0,55.0,Retirement,Graduate,Relationship,65031,Middle Income,0,1,Yes,2013-03-17,29,0,258,107,291,84,37,86,863,4,0,0,0,0,0,No,0,10,3,13,7
8132,1975.0,39.0,Middle-aged,Postgraduate,Relationship,60631,Middle Income,1,1,Yes,2013-04-05,88,0,565,6,65,0,6,19,661,5,0,0,0,1,0,Yes,0,9,2,8,7
1050,1952.0,62.0,Retirement,Graduate,Relationship,28332,Low Income,0,0,No,2014-04-30,58,0,14,10,13,4,15,9,65,1,0,0,0,0,0,No,0,2,1,4,2
5846,1977.0,37.0,Middle-aged,Graduate,Single,40246,Middle Income,1,0,Yes,2012-12-19,68,0,2,1,6,2,1,1,13,1,0,0,0,0,0,No,0,1,0,2,6
1859,1972.0,42.0,Middle-aged,Postgraduate,Relationship,75251,Upper Income,0,0,No,2012-08-27,34,0,721,111,925,97,18,18,1890,1,0,0,0,0,0,No,1,7,6,5,5
7503,1976.0,38.0,Middle-aged,Graduate,Single,75825,Upper Income,0,0,No,2012-10-12,40,0,1032,105,779,137,105,51,2209,0,0,0,1,0,0,Yes,1,5,8,9,4
10401,1976.0,38.0,Middle-aged,Postgraduate,Relationship,26326,Low Income,0,0,No,2013-09-04,12,1,1,0,5,0,3,9,18,1,0,0,0,0,0,No,0,0,0,3,3
1618,1965.0,49.0,Pre-retirement,Graduate,Relationship,56046,Middle Income,0,0,No,2013-01-02,9,0,577,0,64,0,0,51,692,2,0,0,1,0,0,Yes,1,10,1,8,8
3332,1985.0,29.0,Early worker,Graduate,Single,29760,Low Income,1,0,Yes,2012-08-29,87,0,64,4,68,7,5,17,165,4,0,0,0,0,0,No,0,3,1,4,8
2261,1969.0,45.0,Pre-retirement,Graduate,Relationship,26304,Low Income,1,0,Yes,2013-06-23,5,0,4,1,5,2,0,4,16,1,0,0,0,0,0,No,0,1,0,2,7
5346,1973.0,41.0,Middle-aged,Postgraduate,Relationship,23559,Low Income,1,0,Yes,2013-07-03,87,0,25,5,19,7,0,23,79,3,0,0,0,0,0,No,0,3,0,3,7
4119,1963.0,51.0,Pre-retirement,Postgraduate,Relationship,38620,Middle Income,0,0,No,2013-05-11,56,0,112,17,44,34,22,89,318,1,0,0,0,0,0,No,0,2,5,3,3
535,1987.0,27.0,Early worker,Graduate,Single,81361,Upper Income,0,0,No,2014-02-25,18,0,163,23,424,27,65,76,778,1,0,0,0,0,0,No,0,3,10,13,1
5268,1960.0,54.0,Pre-retirement,Graduate,Relationship,29440,Low Income,1,1,Yes,2013-08-11,95,0,17,8,14,10,4,3,56,2,0,0,0,0,0,No,0,1,0,4,7
273,1970.0,44.0,Middle-aged,Postgraduate,Relationship,36138,Middle Income,1,1,Yes,2013-07-16,48,0,130,0,16,0,0,5,151,5,0,0,0,1,0,Yes,0,3,1,4,7
4452,1957.0,57.0,Retirement,Graduate,Single,50388,Middle Income,0,1,Yes,2014-05-28,3,0,292,6,37,0,3,34,372,4,1,0,0,1,0,Yes,1,6,1,6,7
8504,1973.0,41.0,Middle-aged,Graduate,Relationship,79593,Upper Income,0,0,No,2014-05-12,70,0,350,60,568,110,133,145,1366,1,0,0,0,0,1,Yes,0,5,6,7,2
771,1967.0,47.0,Pre-retirement,Graduate,Relationship,54178,Middle Income,0,1,Yes,2014-01-21,79,0,135,9,39,4,0,7,194,1,0,0,0,0,0,No,0,2,2,5,2
8996,1957.0,57.0,Retirement,Postgraduate,Relationship,55212,Middle Income,2,1,Yes,2012-11-19,4,0,230,42,192,49,37,53,603,12,0,0,0,0,0,No,0,7,2,8,9
9235,1957.0,57.0,Retirement,Graduate,Single,52028,Middle Income,1,1,Yes,2014-05-27,45,0,7,0,8,2,0,1,18,1,0,0,0,0,0,No,0,1,0,2,7
5798,1973.0,41.0,Middle-aged,Postgraduate,Relationship,50943,Middle Income,0,0,No,2013-11-23,87,0,445,37,359,98,28,18,985,1,0,0,0,0,0,No,0,2,4,8,1
11178,1972.0,42.0,Middle-aged,Postgraduate,Single,42394,Middle Income,1,0,Yes,2014-03-23,69,0,15,2,10,0,1,4,32,1,0,0,0,0,0,No,0,1,0,3,7
2230,1970.0,44.0,Middle-aged,Postgraduate,Relationship,23626,Low Income,1,0,Yes,2014-05-24,84,0,27,2,14,0,0,0,43,3,0,0,0,0,0,No,0,3,1,3,5
7516,1983.0,31.0,Early worker,Graduate,Relationship,30096,Low Income,1,0,Yes,2014-05-22,30,0,5,3,11,12,5,9,45,1,0,0,0,0,0,No,0,2,0,3,6
7247,1960.0,54.0,Pre-retirement,Graduate,Single,47916,Middle Income,0,1,Yes,2012-11-22,72,0,505,0,26,0,0,75,606,5,0,0,0,1,0,Yes,0,7,4,6,6
11100,1972.0,42.0,Middle-aged,Graduate,Single,51813,Middle Income,1,1,Yes,2013-04-11,37,0,51,2,7,0,1,2,63,2,0,0,0,0,0,No,0,2,0,3,7
4646,1951.0,63.0,Retirement,Postgraduate,Relationship,78497,Upper Income,0,0,No,2013-12-01,44,0,207,26,447,75,0,223,978,1,1,0,0,0,0,Yes,0,5,7,12,2
3037,1983.0,31.0,Early worker,Postgraduate,Relationship,50150,Middle Income,0,0,No,2013-06-20,32,0,135,46,92,65,61,11,410,2,0,0,0,0,0,No,0,5,2,7,5
1473,1960.0,54.0,Pre-retirement,Postgraduate,Single,47823,Middle Income,0,1,Yes,2013-07-23,0,0,53,1,5,2,1,10,72,2,0,0,0,0,0,No,0,2,0,3,8
1016,1959.0,55.0,Retirement,Postgraduate,Single,34554,Low Income,0,1,Yes,2014-03-30,43,0,41,1,6,2,0,5,55,2,0,0,0,0,0,No,0,2,0,3,6
4518,1979.0,35.0,Middle-aged,Graduate,Relationship,85693,Upper Income,0,1,Yes,2013-04-20,59,0,386,172,183,185,132,111,1169,2,0,0,0,0,0,No,0,9,5,11,5
9370,1945.0,69.0,Elderly,Postgraduate,Relationship,65846,Middle Income,0,0,No,2013-05-17,68,0,562,81,276,80,40,81,1120,1,0,0,0,0,0,No,0,6,3,6,4
8908,1959.0,55.0,Retirement,Graduate,Relationship,87195,Upper Income,0,0,No,2014-05-08,35,0,217,76,690,50,26,38,1097,1,0,0,0,0,0,No,1,3,11,5,1
8373,1979.0,35.0,Middle-aged,Graduate,Relationship,24594,Low Income,1,0,Yes,2013-12-10,94,0,1,3,6,10,0,9,29,1,0,0,0,0,0,No,0,1,0,3,5
7533,1964.0,50.0,Pre-retirement,Graduate,Relationship,49096,Middle Income,1,1,Yes,2013-09-24,15,0,144,1,32,2,1,7,187,4,0,0,0,0,0,No,0,4,1,4,7
2683,1969.0,45.0,Pre-retirement,Graduate,Relationship,52413,Middle Income,0,2,Yes,2013-02-02,56,0,295,106,271,75,98,65,910,4,0,0,0,0,0,No,0,6,4,12,6
3629,1978.0,36.0,Middle-aged,Graduate,Single,38557,Middle Income,1,0,Yes,2012-12-19,17,0,76,3,31,4,4,27,145,2,0,0,0,0,0,No,0,3,1,3,7
10991,1960.0,54.0,Pre-retirement,Postgraduate,Relationship,89058,Upper Income,0,0,No,2012-12-07,18,0,454,194,106,31,22,43,850,1,0,0,0,0,0,No,0,5,4,4,2
5077,1979.0,35.0,Middle-aged,Graduate,Relationship,77298,Upper Income,0,1,Yes,2013-11-02,46,0,425,115,292,23,35,79,969,1,0,0,0,0,0,No,0,6,6,11,3
7431,1991.0,23.0,Young,Postgraduate,Single,68126,Upper Income,0,0,No,2012-11-10,40,0,1332,17,311,23,51,86,1820,1,0,0,0,1,0,Yes,1,7,4,5,9
3267,1963.0,51.0,Pre-retirement,Postgraduate,Relationship,57288,Middle Income,0,1,Yes,2014-06-25,27,0,527,0,21,0,0,60,608,3,0,0,0,1,0,Yes,0,8,1,8,6
999,1991.0,23.0,Young,Graduate,Single,86037,Upper Income,0,0,No,2013-01-02,95,0,490,44,125,29,20,22,730,1,0,0,0,1,1,Yes,1,6,7,11,3
9215,1980.0,34.0,Early worker,Postgraduate,Relationship,43974,Middle Income,1,0,Yes,2012-12-12,19,0,378,0,101,0,0,72,551,5,0,0,0,0,0,No,0,6,4,6,7
2286,1962.0,52.0,Pre-retirement,Graduate,Single,50785,Middle Income,1,1,Yes,2013-09-10,27,0,64,1,21,0,1,27,114,2,0,0,0,0,0,No,0,2,1,3,6
1592,1970.0,44.0,Middle-aged,Graduate,Relationship,90765,Upper Income,0,0,No,2014-01-24,25,0,547,99,812,151,82,33,1724,0,1,0,0,0,1,Yes,0,4,6,5,1
367,1978.0,36.0,Middle-aged,Postgraduate,Relationship,36550,Middle Income,1,0,Yes,2013-02-19,74,0,47,90,94,123,103,120,577,5,0,0,0,0,0,No,0,9,1,5,9
5234,1967.0,47.0,Pre-retirement,Postgraduate,Relationship,30753,Low Income,1,1,Yes,2013-07-11,85,0,12,5,25,0,9,30,81,2,0,0,0,0,0,No,0,1,1,3,5
9862,1969.0,45.0,Pre-retirement,Graduate,Relationship,21918,Low Income,1,0,Yes,2013-11-14,37,0,1,6,7,11,5,3,33,2,0,0,0,0,0,No,0,2,0,3,6
9805,1953.0,61.0,Retirement,Postgraduate,Relationship,56129,Middle Income,0,1,Yes,2013-06-20,65,0,320,48,133,39,72,48,660,4,0,0,0,0,0,No,0,6,2,10,4
6205,1967.0,47.0,Pre-retirement,Postgraduate,Single,32557,Low Income,1,0,Yes,2014-02-24,13,0,34,3,29,0,4,10,80,3,0,0,0,0,0,No,1,2,1,3,5
8442,1985.0,29.0,Early worker,Postgraduate,Relationship,19510,Low Income,2,0,Yes,2013-09-04,63,0,9,0,7,3,4,7,30,2,0,0,0,0,0,No,0,1,0,3,7
7386,1976.0,38.0,Middle-aged,Graduate,Single,30992,Low Income,1,0,Yes,2013-04-22,83,0,17,0,14,7,3,2,43,1,0,0,0,0,0,No,0,1,0,3,7
7215,1983.0,31.0,Early worker,Graduate,Single,101970,Upper Income,0,0,No,2013-03-12,69,0,722,27,102,44,72,168,1135,0,1,0,0,1,1,Yes,1,6,8,13,2
1491,1965.0,49.0,Pre-retirement,Postgraduate,Relationship,71488,Upper Income,0,0,No,2013-02-18,87,0,162,33,124,40,28,172,559,2,0,0,0,0,0,No,0,3,4,7,1
11071,1984.0,30.0,Early worker,Graduate,Single,79607,Upper Income,0,0,No,2013-04-21,37,0,450,133,951,173,0,216,1923,1,0,0,0,0,0,No,1,3,6,6,1
3381,1953.0,61.0,Retirement,Postgraduate,Relationship,54348,Middle Income,1,1,Yes,2014-06-08,51,0,70,0,16,0,0,4,90,2,0,0,0,0,0,No,0,2,0,4,6
8268,1961.0,53.0,Pre-retirement,Postgraduate,Relationship,55212,Middle Income,0,1,Yes,2013-07-11,23,0,352,0,27,10,0,15,404,3,0,0,0,0,0,No,0,6,1,7,6
11051,1956.0,58.0,Retirement,Postgraduate,Relationship,77376,Upper Income,1,1,Yes,2014-05-10,72,0,492,19,110,16,12,12,661,4,0,0,0,0,0,No,0,6,3,10,4
8026,1952.0,62.0,Retirement,Graduate,Relationship,62998,Middle Income,0,1,Yes,2013-09-30,10,0,120,58,73,65,89,58,463,5,0,0,0,0,0,No,0,5,4,5,5
433,1958.0,56.0,Retirement,Postgraduate,Single,61331,Middle Income,1,1,Yes,2013-03-10,42,0,534,5,47,0,5,41,632,5,0,0,0,0,0,No,0,11,1,6,8
9597,1969.0,45.0,Pre-retirement,Graduate,Relationship,73448,Upper Income,0,0,No,2014-02-10,10,0,236,106,189,23,41,130,725,1,0,0,0,0,0,No,0,7,2,9,4
1295,1963.0,51.0,Pre-retirement,Graduate,Relationship,52028,Middle Income,0,1,Yes,2013-08-11,96,0,231,65,196,38,71,124,725,1,0,0,0,0,0,No,0,6,5,7,4
5290,1964.0,50.0,Pre-retirement,Postgraduate,Relationship,41551,Middle Income,1,1,Yes,2013-08-14,51,0,220,0,33,3,0,23,279,5,0,0,0,0,0,No,0,5,1,5,8
1685,1967.0,47.0,Pre-retirement,Postgraduate,Relationship,62981,Middle Income,0,0,No,2013-03-17,21,0,796,14,590,38,44,0,1482,1,0,0,0,1,0,Yes,0,4,5,13,3
5342,1976.0,38.0,Middle-aged,Graduate,Single,9548,Low Income,1,0,Yes,2012-08-08,31,0,0,1,3,10,6,9,29,2,0,0,0,0,0,No,0,1,0,3,8
9579,1959.0,55.0,Retirement,Postgraduate,Relationship,33762,Low Income,2,1,Yes,2013-07-07,61,0,53,1,34,2,0,16,106,3,0,0,0,0,0,No,0,2,2,2,8
7660,1973.0,41.0,Middle-aged,Postgraduate,Single,35860,Middle Income,1,1,Yes,2014-05-19,37,0,15,0,8,4,2,20,49,2,0,0,1,0,0,Yes,1,1,1,2,5
1461,1965.0,49.0,Pre-retirement,Postgraduate,Single,36921,Middle Income,1,1,Yes,2013-07-28,74,0,17,1,12,3,1,4,38,2,0,0,0,0,0,No,0,2,0,3,7
821,1992.0,22.0,Young,Postgraduate,Single,92859,Upper Income,0,0,No,2012-10-19,46,0,962,61,921,52,61,20,2077,1,0,0,0,0,0,No,0,5,4,12,2
11084,1976.0,38.0,Middle-aged,Postgraduate,Relationship,65104,Middle Income,0,1,Yes,2013-11-14,4,0,738,0,232,13,20,50,1053,2,0,0,0,0,0,No,1,3,5,7,7
8690,1962.0,52.0,Pre-retirement,Graduate,Relationship,86111,Upper Income,0,0,No,2013-04-19,73,0,399,28,756,36,40,126,1385,1,0,0,0,0,0,No,0,5,7,10,2
